,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
45138,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
45140,Other,40-49,Criminal Traffic,OAR/OAS,None,None,None,no
45141,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
45142,Caucasian,18-29,Felony,Other,1-5,None,None,yes
45143,Other,18-29,Criminal Traffic,Other,None,None,None,no
45144,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
45146,Other,18-29,Felony,Other,1-5,1-5,1-5,no
45147,Other,40-49,Felony,Other,1-5,1-5,1-5,yes
45148,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45149,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
45150,Caucasian,30-39,Felony,Other,1-5,None,None,no
45151,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,1-5,no
45152,Other,40-49,Misdemeanor,Other,1-5,6-10,1-5,no
45153,Caucasian,50-59,Felony,Other,1-5,1-5,None,no
45154,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
45155,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,no
45156,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
45157,Caucasian,30-39,Misdemeanor,Bail Jumping,None,1-5,1-5,no
45158,Caucasian,30-39,Felony,Other,None,None,None,no
45159,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
45160,Caucasian,40-49,Felony,Other,1-5,1-5,1-5,yes
45161,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,no
45162,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45163,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,None,no
45164,Caucasian,30-39,Misdemeanor,Resisting Officer,None,1-5,1-5,no
45165,Caucasian,18-29,Criminal Traffic,Bail Jumping,None,1-5,6-10,yes
45166,Caucasian,40-49,Misdemeanor,Operating While Intoxicated,None,None,None,no
45167,Caucasian,30-39,Misdemeanor,Bail Jumping,None,1-5,None,no
45168,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,None,None,no
45169,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,yes
45170,Caucasian,18-29,Felony,Other,None,None,1-5,no
45171,African American,Younger than 18,Misdemeanor,Other,None,None,None,no
45172,Caucasian,18-29,Criminal Traffic,Other,1-5,1-5,1-5,yes
45174,Caucasian,30-39,Felony,Other,1-5,1-5,1-5,yes
45175,African American,30-39,Felony,Other,1-5,None,None,no
45176,Caucasian,40-49,Misdemeanor,Other,None,None,None,yes
45177,Other,30-39,Criminal Traffic,OAR/OAS,None,None,1-5,yes
45178,Caucasian,30-39,Felony,Other,1-5,1-5,None,no
45179,Caucasian,Younger than 18,Misdemeanor,Other,1-5,None,None,no
45180,African American,40-49,Misdemeanor,Other,1-5,1-5,None,no
45181,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
45182,Other,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,yes
45183,Caucasian,Younger than 18,Felony,Burglary,1-5,None,None,yes
45184,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
45185,Other,40-49,Felony,Other,None,1-5,None,no
45186,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45187,Caucasian,18-29,Felony,Other,None,1-5,None,no
45188,African American,40-49,Misdemeanor,Other,1-5,6-10,None,yes
45189,Caucasian,30-39,Misdemeanor,Battery,None,1-5,None,yes
45190,Caucasian,18-29,Felony,Other,None,None,None,no
45191,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,None,None,yes
45192,Caucasian,40-49,Felony,Other,None,None,None,yes
45194,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45195,Caucasian,18-29,Misdemeanor,Battery,None,None,None,yes
45196,Other,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
45197,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,yes
45198,African American,40-49,Felony,Other,1-5,None,None,yes
45199,Caucasian,18-29,Felony,Other,None,None,None,yes
45200,Caucasian,Older than 60,Criminal Traffic,Other,None,None,None,no
45201,Caucasian,Older than 60,Felony,Other,1-5,1-5,1-5,no
45202,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,1-5,yes
45203,African American,Younger than 18,Misdemeanor,Disorderly Conduct,None,None,None,no
45204,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,no
45205,Caucasian,18-29,Felony,Burglary,None,None,None,no
45206,African American,18-29,Misdemeanor,Other,None,None,None,no
45207,Caucasian,18-29,Felony,Bail Jumping,None,1-5,None,no
45208,African American,40-49,Felony,Bail Jumping,1-5,None,None,yes
45209,Other,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
45210,Other,18-29,Criminal Traffic,OAR/OAS,1-5,6-10,None,yes
45211,Caucasian,18-29,Misdemeanor,Other,None,None,1-5,yes
45212,Other,30-39,Misdemeanor,Resisting Officer,None,None,1-5,no
45213,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,yes
45214,African American,30-39,Felony,Other,None,None,None,yes
45215,Other,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
45216,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,yes
45217,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
45218,Other,30-39,Misdemeanor,Bail Jumping,None,None,1-5,no
45219,Other,30-39,Misdemeanor,Resisting Officer,None,1-5,1-5,yes
45220,Caucasian,18-29,Felony,Other,1-5,6-10,None,no
45221,Caucasian,18-29,Felony,Other,1-5,6-10,6-10,no
45222,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,yes
45223,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
45224,Caucasian,40-49,Misdemeanor,Other,None,None,1-5,yes
45225,Caucasian,Younger than 18,Felony,Other,None,None,None,no
45226,African American,18-29,Misdemeanor,Battery,1-5,6-10,None,yes
45227,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,yes
45228,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45229,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
45230,Other,50-59,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
45231,African American,30-39,Felony,Battery,None,1-5,None,no
45232,African American,30-39,Misdemeanor,Battery,1-5,1-5,None,yes
45233,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45234,Caucasian,40-49,Criminal Traffic,Other,None,None,1-5,yes
45235,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45236,African American,30-39,Misdemeanor,Other,1-5,1-5,None,no
45237,Caucasian,Older than 60,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
45238,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
45239,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
45240,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,1-5,yes
45241,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,yes
45243,Caucasian,Older than 60,Felony,Other,None,None,None,no
45245,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,None,yes
45246,African American,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
45247,Caucasian,40-49,Felony,Other,None,None,None,no
45248,Caucasian,30-39,Felony,Other,None,None,None,no
45249,Caucasian,Younger than 18,Felony,Burglary,1-5,None,None,no
45250,African American,18-29,Misdemeanor,Battery,None,1-5,None,yes
45251,Caucasian,30-39,Criminal Traffic,Other,1-5,1-5,None,no
45252,Other,18-29,Misdemeanor,Other,None,None,None,yes
45253,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
45254,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
45255,African American,30-39,Felony,Bail Jumping,1-5,None,None,no
45256,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
45257,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
45258,Caucasian,40-49,Felony,Burglary,None,None,None,yes
45259,Caucasian,50-59,Felony,Other,None,None,None,no
45260,Caucasian,Younger than 18,Misdemeanor,Disorderly Conduct,None,1-5,None,no
45261,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45262,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
45263,Caucasian,Younger than 18,Misdemeanor,Battery,None,None,None,yes
45264,Other,18-29,Criminal Traffic,Other,None,None,None,no
45265,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
45266,African American,30-39,Criminal Traffic,OAR/OAS,More than 10,1-5,6-10,yes
45267,African American,30-39,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
45268,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
45269,African American,Younger than 18,Felony,Other,None,None,None,no
45270,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
45271,Caucasian,30-39,Misdemeanor,Battery,None,None,None,no
45272,Caucasian,40-49,Misdemeanor,Resisting Officer,1-5,None,None,no
45273,African American,18-29,Misdemeanor,Resisting Officer,1-5,None,1-5,yes
45274,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
45275,Caucasian,18-29,Felony,Other,None,None,None,no
45276,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
45277,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,no
45278,African American,40-49,Felony,Other,6-10,6-10,None,no
45279,Caucasian,30-39,Felony,Burglary,None,None,None,no
45280,Caucasian,18-29,Felony,Burglary,1-5,1-5,None,no
45281,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
45282,Caucasian,18-29,Misdemeanor,Bail Jumping,None,None,1-5,no
45283,African American,18-29,Misdemeanor,Other,1-5,1-5,None,no
45284,Caucasian,50-59,Misdemeanor,Resisting Officer,None,1-5,None,no
45285,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,None,yes
45286,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
45287,Caucasian,40-49,Felony,Other,None,None,None,no
45288,African American,40-49,Misdemeanor,Disorderly Conduct,1-5,None,None,yes
45289,Other,40-49,Misdemeanor,Other,None,1-5,None,no
45290,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
45291,Caucasian,Younger than 18,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
45292,African American,40-49,Felony,Other,1-5,None,None,yes
45293,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45294,Caucasian,18-29,Misdemeanor,OAR/OAS,None,None,1-5,no
45295,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45296,Other,30-39,Criminal Traffic,Other,None,None,1-5,no
45297,Caucasian,18-29,Felony,Other,None,None,None,no
45298,Caucasian,40-49,Felony,Other,1-5,1-5,None,no
45299,African American,40-49,Criminal Traffic,OAR/OAS,1-5,None,1-5,yes
45300,Caucasian,18-29,Misdemeanor,Bail Jumping,None,None,None,yes
45301,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
45302,African American,Younger than 18,Misdemeanor,Other,None,None,None,no
45303,Caucasian,30-39,Misdemeanor,Operating While Intoxicated,None,None,None,no
45304,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
45305,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45306,African American,18-29,Misdemeanor,Battery,None,1-5,None,yes
45307,Other,30-39,Misdemeanor,Bail Jumping,None,1-5,None,no
45308,African American,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45309,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,yes
45310,Caucasian,30-39,Felony,Other,None,None,None,no
45311,Other,30-39,Criminal Traffic,OAR/OAS,None,1-5,None,no
45312,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
45313,African American,18-29,Misdemeanor,Other,None,None,None,no
45314,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
45315,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
45316,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,yes
45317,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
45318,Caucasian,18-29,Misdemeanor,OAR/OAS,None,6-10,None,no
45319,African American,18-29,Felony,Bail Jumping,1-5,None,1-5,yes
45321,African American,Younger than 18,Felony,Other,None,None,None,no
45322,Caucasian,18-29,Felony,Other,None,None,None,yes
45323,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
45324,Caucasian,40-49,Misdemeanor,Battery,1-5,1-5,None,no
45325,Caucasian,Older than 60,Misdemeanor,Other,None,None,None,no
45326,Caucasian,40-49,Misdemeanor,Battery,None,None,None,no
45327,Caucasian,Younger than 18,Misdemeanor,Other,1-5,1-5,None,yes
45329,Caucasian,18-29,Felony,Other,None,None,1-5,yes
45330,African American,40-49,Misdemeanor,Resisting Officer,None,None,1-5,no
45331,Caucasian,30-39,Felony,Bail Jumping,1-5,None,None,no
45332,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,1-5,yes
45333,African American,40-49,Misdemeanor,Other,1-5,6-10,1-5,yes
45334,Caucasian,18-29,Felony,Other,1-5,None,None,no
45335,Caucasian,40-49,Misdemeanor,Battery,None,None,None,no
45336,Caucasian,40-49,Felony,Other,None,None,None,no
45337,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45338,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45339,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
45340,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,None,no
45341,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,yes
45342,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,yes
45343,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45344,African American,30-39,Felony,Other,1-5,1-5,None,yes
45345,Caucasian,40-49,Misdemeanor,Other,None,1-5,None,no
45346,Caucasian,30-39,Misdemeanor,Operating While Intoxicated,None,1-5,None,no
45347,African American,18-29,Misdemeanor,Resisting Officer,None,None,None,no
45348,African American,18-29,Misdemeanor,Other,None,6-10,None,yes
45349,Caucasian,18-29,Criminal Traffic,Other,1-5,1-5,None,yes
45350,African American,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
45351,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45352,African American,18-29,Misdemeanor,Battery,1-5,None,None,no
45353,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
45354,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,no
45355,Caucasian,18-29,Felony,Other,None,None,None,yes
45357,Caucasian,40-49,Misdemeanor,OAR/OAS,None,None,1-5,yes
45358,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45359,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
45360,Other,18-29,Misdemeanor,Battery,None,None,None,yes
45361,Caucasian,18-29,Felony,Other,None,1-5,None,yes
45362,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
45363,Caucasian,18-29,Felony,Other,More than 10,1-5,1-5,no
45364,Other,30-39,Criminal Traffic,Other,None,1-5,1-5,no
45365,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,yes
45366,African American,18-29,Felony,Other,6-10,6-10,1-5,yes
45367,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45368,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,None,no
45369,Other,18-29,Felony,Other,None,None,None,no
45370,African American,Younger than 18,Felony,Battery,None,None,None,yes
45371,Caucasian,40-49,Criminal Traffic,Other,None,1-5,1-5,no
45372,Caucasian,18-29,Felony,Burglary,1-5,None,1-5,yes
45374,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
45375,African American,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
45376,Other,30-39,Felony,Other,6-10,1-5,None,no
45377,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45378,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
45379,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,no
45380,Caucasian,Younger than 18,Criminal Traffic,Other,None,None,None,no
45381,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45382,Caucasian,40-49,Misdemeanor,Battery,1-5,1-5,1-5,no
45383,Caucasian,Younger than 18,Felony,Other,None,1-5,None,yes
45384,Caucasian,50-59,Felony,Bail Jumping,1-5,1-5,None,no
45385,African American,18-29,Felony,Battery,None,None,None,yes
45386,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
45387,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,More than 10,no
45388,Other,18-29,Misdemeanor,Other,None,1-5,None,yes
45390,Caucasian,Younger than 18,Felony,Other,1-5,1-5,None,yes
45391,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45392,African American,18-29,Felony,Other,None,None,None,no
45393,Caucasian,40-49,Felony,Other,1-5,None,None,no
45394,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
45395,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
45396,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,None,None,yes
45397,Caucasian,50-59,Felony,Other,6-10,None,None,yes
45398,Caucasian,18-29,Misdemeanor,Other,None,None,1-5,no
45399,African American,18-29,Felony,Burglary,None,None,None,no
45400,Caucasian,18-29,Felony,Other,None,None,None,yes
45401,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
45402,Caucasian,18-29,Felony,Burglary,1-5,1-5,None,no
45403,Caucasian,30-39,Misdemeanor,Resisting Officer,None,None,None,no
45404,Caucasian,50-59,Misdemeanor,Disorderly Conduct,1-5,None,1-5,no
45405,Caucasian,18-29,Felony,Burglary,1-5,None,None,yes
45406,Caucasian,18-29,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
45407,Other,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
45409,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
45410,African American,18-29,Misdemeanor,Battery,None,None,1-5,yes
45411,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
45412,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45413,Other,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
45414,African American,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
45415,Caucasian,18-29,Felony,Other,None,None,None,no
45416,Caucasian,18-29,Criminal Traffic,Other,None,None,None,no
45417,Other,18-29,Felony,Other,None,None,None,no
45418,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
45419,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,yes
45420,Caucasian,50-59,Felony,Other,None,1-5,1-5,no
45421,African American,18-29,Misdemeanor,Disorderly Conduct,None,None,None,yes
45422,Caucasian,18-29,Misdemeanor,Other,None,1-5,1-5,yes
45423,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,yes
45424,African American,30-39,Criminal Traffic,OAR/OAS,1-5,None,None,yes
45425,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
45426,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,yes
45427,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
45428,Caucasian,18-29,Felony,Other,None,1-5,None,no
45429,Caucasian,30-39,Misdemeanor,Battery,None,None,None,no
45430,Other,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
45431,Caucasian,18-29,Felony,Other,1-5,None,None,yes
45432,Caucasian,40-49,Felony,Other,1-5,1-5,None,yes
45433,Caucasian,50-59,Misdemeanor,Bail Jumping,None,More than 10,None,yes
45434,African American,18-29,Felony,Other,None,None,None,no
45436,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
45438,Caucasian,40-49,Misdemeanor,Other,None,1-5,1-5,yes
45439,Caucasian,30-39,Misdemeanor,Battery,1-5,1-5,1-5,no
45440,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,1-5,yes
45441,African American,18-29,Misdemeanor,Bail Jumping,1-5,1-5,1-5,no
45442,Caucasian,50-59,Misdemeanor,Other,None,None,1-5,no
45443,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,6-10,More than 10,no
45444,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,None,yes
45445,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
45446,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
45447,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45448,African American,18-29,Misdemeanor,Battery,1-5,None,None,no
45449,Caucasian,Younger than 18,Felony,Other,1-5,1-5,None,no
45450,African American,30-39,Criminal Traffic,OAR/OAS,None,1-5,None,no
45451,Caucasian,18-29,Misdemeanor,Other,None,1-5,1-5,no
45452,Caucasian,18-29,Misdemeanor,OAR/OAS,1-5,1-5,None,yes
45453,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,yes
45454,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
45455,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,no
45456,African American,50-59,Felony,Other,None,None,None,no
45457,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
45458,Other,30-39,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
45459,Other,18-29,Misdemeanor,Bail Jumping,1-5,6-10,None,no
45460,Caucasian,30-39,Misdemeanor,Bail Jumping,1-5,1-5,None,no
45461,Other,18-29,Felony,Other,None,None,None,no
45462,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,yes
45463,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,no
45464,Other,18-29,Misdemeanor,Bail Jumping,None,None,None,no
45465,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
45466,Caucasian,18-29,Felony,Burglary,1-5,1-5,1-5,yes
45467,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
45468,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
45469,Other,Younger than 18,Misdemeanor,Other,None,1-5,None,yes
45470,Caucasian,Younger than 18,Felony,Other,None,None,None,no
45471,African American,18-29,Felony,Battery,1-5,1-5,None,no
45472,Caucasian,30-39,Felony,Other,None,None,1-5,yes
45473,Caucasian,40-49,Felony,Bail Jumping,1-5,None,None,yes
45474,Other,18-29,Misdemeanor,Other,None,None,None,no
45475,Caucasian,30-39,Misdemeanor,Other,None,None,1-5,no
45476,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,1-5,None,no
45477,Caucasian,30-39,Felony,Other,1-5,1-5,None,yes
45478,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
45480,African American,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
45481,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
45482,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45483,Caucasian,40-49,Misdemeanor,Battery,1-5,1-5,None,yes
45484,Other,40-49,Criminal Traffic,Other,None,None,1-5,no
45485,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,yes
45486,Caucasian,18-29,Felony,Other,None,1-5,1-5,yes
45487,Caucasian,Younger than 18,Misdemeanor,Other,None,None,None,no
45488,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,no
45489,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45490,African American,40-49,Misdemeanor,OAR/OAS,More than 10,1-5,None,no
45491,African American,40-49,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
45492,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,no
45493,Caucasian,30-39,Felony,Other,None,1-5,6-10,yes
45494,Caucasian,50-59,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
45496,Other,18-29,Misdemeanor,OAR/OAS,None,None,1-5,no
45498,Caucasian,18-29,Felony,Other,None,1-5,None,no
45499,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,yes
45500,Caucasian,50-59,Criminal Traffic,Bail Jumping,None,None,1-5,no
45501,Caucasian,18-29,Felony,Other,None,None,None,no
45502,Caucasian,30-39,Criminal Traffic,OAR/OAS,None,None,1-5,no
45503,African American,18-29,Misdemeanor,Resisting Officer,1-5,None,1-5,yes
45504,African American,18-29,Misdemeanor,Battery,1-5,1-5,None,yes
45505,Caucasian,30-39,Felony,Bail Jumping,1-5,1-5,1-5,no
45506,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
45507,Caucasian,40-49,Felony,Other,1-5,1-5,1-5,yes
45508,African American,50-59,Misdemeanor,Other,1-5,1-5,6-10,no
45509,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
45510,African American,30-39,Misdemeanor,Resisting Officer,None,None,None,no
45511,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,None,None,no
45512,Caucasian,40-49,Felony,Other,1-5,1-5,1-5,yes
45513,Caucasian,40-49,Felony,Burglary,1-5,None,1-5,yes
45514,Caucasian,30-39,Felony,Other,None,None,None,no
45515,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,yes
45516,African American,18-29,Felony,Other,None,None,None,no
45517,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
45518,Caucasian,18-29,Felony,Other,None,1-5,None,yes
45519,African American,30-39,Misdemeanor,Bail Jumping,None,None,None,no
45520,Other,18-29,Criminal Traffic,Operating While Intoxicated,None,1-5,None,yes
45521,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
45522,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
45523,Other,30-39,Criminal Traffic,Other,None,None,1-5,yes
45524,Caucasian,30-39,Misdemeanor,OAR/OAS,None,None,None,no
45525,Caucasian,18-29,Felony,Burglary,1-5,None,None,no
45526,Caucasian,18-29,Felony,Other,None,None,None,no
45528,Caucasian,40-49,Felony,Other,1-5,None,None,yes
45529,African American,Younger than 18,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
45530,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,None,1-5,no
45531,Caucasian,18-29,Felony,Other,None,None,None,no
45532,African American,40-49,Felony,Battery,None,None,None,no
45533,Caucasian,18-29,Felony,Other,1-5,1-5,None,no
45534,African American,40-49,Misdemeanor,Other,None,1-5,None,yes
45535,Caucasian,30-39,Felony,Bail Jumping,1-5,6-10,None,yes
45536,Caucasian,40-49,Misdemeanor,Bail Jumping,1-5,1-5,1-5,yes
45537,African American,30-39,Felony,Other,1-5,None,None,no
45538,Caucasian,30-39,Felony,Other,6-10,6-10,1-5,yes
45539,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,no
45541,African American,18-29,Felony,Other,None,None,None,no
45542,Other,50-59,Criminal Traffic,OAR/OAS,None,6-10,1-5,yes
45543,African American,18-29,Misdemeanor,Other,1-5,1-5,None,no
45544,Caucasian,Younger than 18,Misdemeanor,Battery,None,None,None,no
45545,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
45546,African American,18-29,Misdemeanor,Other,1-5,None,None,no
45547,African American,18-29,Felony,Other,None,None,None,no
